"species" "yearbirth" "littersizebirth" "littersizeweaning" "sexratiobirth" "sexratioweaning" "survlitter48h" "survlitterweaning" "survlittersexmat" "agedam" "agemaxdam" "agesire" "agemaxsire"
"1" "Vrubra" 1991 2 1 1 1 1 0.5 0.5 8 26.62 5 12.64
"2" "Vrubra" 2008 2 1 0 0 0.5 0.5 0.5 8 15.7 9 16.69
"3" "Vrubra" 1998 1 0 1 NA 1 0 0 13 23.77 20 34.51
"4" "Vrubra" 1989 2 0 1 NA 1 0 0 3 29.72 4 6.21
"5" "Vrubra" 1994 1 1 0 0 1 1 1 11 29.96 11 22.31
"6" "Vrubra" 1998 1 1 0 0 1 1 1 7 24.67 6 22.27
"7" "Vrubra" 2000 1 0 0 NA 0 0 0 12 15.81 10 21.28
"8" "Vrubra" 2012 1 0 1 NA 1 0 0 16 19.75 16 19.72
"9" "Vrubra" 2003 2 2 0.5 0.5 1 1 1 16 28.52 9 21.7
"10" "Vrubra" 1978 3 3 0.333333333333333 0.333333333333333 1 1 1 5 22.65 10 21.26
"11" "Vrubra" 1997 1 0 1 NA 0 0 0 7 25.69 4 16.15
"12" "Vrubra" 2011 1 0 1 NA 1 0 0 11 15.56 6 10.69
"13" "Vrubra" 1988 1 1 0 0 1 1 1 10 28.58 8 19.79
"14" "Vrubra" 2013 1 1 0 0 1 1 1 8 10.7 7 9.6
"15" "Vrubra" 2009 2 1 1 1 1 0.5 0.5 12 18.72 11 17.74
"16" "Vrubra" 2005 1 1 0 0 1 1 1 12 22.69 7 17.75
"17" "Vrubra" 1984 1 1 1 1 1 1 1 11 22.65 16 21.26
"18" "Vrubra" 1998 2 2 1 1 1 1 1 11 28.72 13 27.62
"19" "Vrubra" 1982 4 4 0.5 0.5 1 1 1 4 27.72 6 39.67
"20" "Vrubra" 2000 1 0 1 NA 0 0 0 13 28.72 15 27.62
"21" "Vrubra" 1998 1 1 1 1 1 1 1 3 20.61 4 10.28
"22" "Vrubra" 2007 3 3 0.666666666666667 0.666666666666667 1 1 1 9 17.66 9 17.66
"23" "Vrubra" 1992 3 3 0.333333333333333 0.333333333333333 1 1 1 9 26.62 6 12.64
"24" "Vrubra" 1992 4 3 0.25 0 0.75 0.75 0.75 5 18.86 8 21.01
"25" "Vrubra" 1988 5 1 0.4 1 0.4 0.2 0.2 9 14.55 2 8.75
